name,Jan Oblak,Diego Godin,Filipe Luis,Koke,Antoine Griezmann,Fernando Torres,Augusto Fernandez,Gabi,Saul Niguez,Juanfran,Jose Maria Gimenez,Stefan Savi?,Yannick Carrasco,Thomas Partey
Jan Oblak,,1,2,0,0,1,0,0,0,0,1,0,0,0
Diego Godin,0,,2,2,0,1,1,1,1,0,0,0,1,0
Filipe Luis,0,0,,6,2,1,1,0,1,1,0,0,1,0
Koke,0,1,3,,2,4,2,6,4,2,0,0,5,0
Antoine Griezmann,0,0,2,3,,3,0,5,3,3,1,0,1,0
Fernando Torres,0,0,0,1,3,,0,0,0,0,0,0,0,0
Augusto Fernandez,0,0,0,0,0,0,,1,1,2,0,0,0,0
Gabi,0,0,1,6,2,0,0,,3,6,0,0,3,1
Saul Niguez,0,0,1,5,1,0,0,4,,1,1,0,1,0
Juanfran,0,0,0,2,4,1,0,2,3,,0,0,0,0
Jose Maria Gimenez,0,0,0,1,1,0,2,1,0,2,,0,0,0
Stefan Savi?,1,0,0,0,0,0,0,0,0,0,0,,0,0
Yannick Carrasco,0,0,4,5,0,1,0,0,0,0,0,0,,0
Thomas Partey,0,0,1,1,0,0,0,1,0,0,0,0,0,
