name,Manuel Neuer,Franck Rib?ry,Javi Mart?nez,Robert Lewandowski,Douglas Costa,Xabi Alonso,J?r?me Boateng,Philipp Lahm,Arturo Vidal,Thomas M?ller,David Alaba,Kingsley Coman
Manuel Neuer,,0,9,2,0,3,4,3,1,0,4,0
Franck Rib?ry,0,,1,2,3,6,2,3,7,3,12,1
Javi Mart?nez,4,3,,0,3,12,22,12,10,0,2,0
Robert Lewandowski,0,2,1,,1,1,0,0,1,3,3,0
Douglas Costa,0,2,1,1,,3,2,9,6,4,3,0
Xabi Alonso,2,4,7,2,4,,10,22,6,8,7,3
J?r?me Boateng,6,12,13,3,1,6,,3,7,6,14,1
Philipp Lahm,2,0,16,2,14,9,4,,24,8,6,3
Arturo Vidal,2,7,12,5,6,8,8,20,,6,6,0
Thomas M?ller,0,1,2,6,6,5,3,4,4,,1,2
David Alaba,1,19,1,5,0,9,16,2,4,2,,0
Kingsley Coman,0,1,0,0,0,1,0,1,1,2,0,
